nomprimitive,value
FN14,0.1652365804092507
FN18,-18.66655005244569
FB5,False
FN5,99.84200322874926
FN10,92.96403715625648
FN7,56.05824434238176
FN11,39.324472028012416
FB4,False
FB1,False
FN1,-93.82072769633604
FN9,5.271995741472835
FB6,False
FN6,71.73547497725158
FN23,15.32599437485448
FN17,14567.093429663231
FN3,3.4046336277906253
FN8,10.253606153997508
FN4,79.49658852071899
FN16,32.882892849145804
FN2,0.272952183532551
FB2,True
FN12,71.05489949933836
FN22,473.71165227833694
FN15,-0.5285413174026989
FB3,True
FN21,204.4911203142848
FN13,3057.686381166867
FB7,True
FN19,46.79047317133311
FN20,45551.69259199089
FN14,0.1388091007372788
FN18,96.47283352403434
FB5,False
FN5,29.99660961738586
FN10,33.785323806307176
FB4,True
FN7,24.60996336292769
FN11,82.1743282466604
FN1,-100.76614311249996
FN9,32.263714753998165
FB6,False
FN6,84.34615428016005
FN23,27.387615045327628
FN17,21806.04831860147
FN4,30.04321037887546
FN8,68.76737539122519
FN16,8.075105103614089
FN3,17.151018780477735
FN2,2.041848214391919
FB2,True
FN12,5.061229399618384
FN22,290.778425022632
FN15,0.2391808208005885
FN21,87.29797216784071
FB3,True
FN13,2421.0922260046927
FN19,88.15849448659527
FB7,False
FN20,28659.15988690147
FN14,0.440677851487962
FN18,-41.33899748350813
FB5,False
FN5,88.28223338480295
FN10,89.4355797150259
FN7,52.815414164817135
FB4,False
FN11,92.2046978549576
FN9,91.78611979872449
FN1,-90.06669628521031
FB1,True
FB6,False
FN6,26.159851130687915
FN23,20.91663588441549
FN4,73.35331183004202
FN16,191.9681564043209
FN3,5.222764771973387
FN2,2.19625222098812
FN12,40.05890981274216
FB2,True
FN22,327.75021067200925
FN21,173.14370490813374
FB3,True
FN13,6604.408410742863
FB7,True
FN20,7747.991676868732
FN14,0.3818035105365236
FN18,90.8435119167527
FB5,True
FN5,94.48421637872136
FN10,96.82093856631369
FB4,False
FN7,17.477974679325314
FN11,59.18506909979641
FN1,-97.64008020588244
FN9,33.87756432089486
FB1,False
FN6,66.98787695489102
FB6,False
FN23,26.33129815266853
