nomprimitive,value
FN14,0.1652365804092507
FN18,-18.66655005244569
FB5,False
FN5,99.84200322874926
FN10,92.96403715625648
FN7,56.05824434238176
FN11,39.324472028012416
FN9,76.91072204943562
FN1,-90.71562980133764
FB1,True
FN6,15.542872502704164
FB6,False
FN23,18.268116608988286
FN17,37026.41842737195
FN4,8.23316010381232
FN8,25.034974332608783
FN16,272.44065583556966
FN3,0.125678622581542
FN2,2.6232562787115565
FB2,True
FN12,34.79497676122409
FN15,0.355937951956029
FN21,6.367075027736785
FB3,True
FB7,True
FN19,89.00241518420975
FN20,13219.960648682722
FN14,0.0490129564934783
FN18,-5.018452385068684
FB5,True
FN5,40.40738376082277
FN10,33.74109695396339
FN7,53.59962884556391
FN11,17.014444372103156
FB4,False
FB1,False
FN1,-99.38779971603938
FN9,85.53490560308768
FB6,False
FN6,93.9416609093254
FN23,16.578437181103578
FN17,21881.35017232516
FN3,2.012305219895083
FN8,31.76855195895541
FN4,30.04321037887546
FN16,317.5772572862566
FN2,19.896013494040208
FB2,True
FN12,57.51220357867015
FN22,309.40868208598914
FN15,0.9497973729034824
FB3,True
FN21,132.3899921044605
FN13,8271.023895247437
FB7,False
FN19,97.55645531091466
FN20,39871.23815665322
FN14,0.2421529854681186
FN18,9.730103164386476
FB5,False
FN5,93.14114105254878
FN10,94.6008693512161
FB1,True
FN17,22875.318224221992
FN16,28.318837142754848
FB2,False
FN15,0.9839956999972604
FB3,True
FN14,0.3278207821488676
FN18,66.33116164310061
FB5,True
FN5,84.13603626511832
FN10,79.27779409673276
FN7,23.14049856062132
FB4,True
FN11,99.29816034838204
FN9,69.13649462117729
FN1,-93.63491614646028
FB1,True
FB6,False
FN6,64.48882564140479
FN23,40.31215261137417
FN4,51.16928184674434
FN16,546.1440130843235
FN3,8.702311834701561
FN2,16.38142362883821
FN12,54.9880001537674
FB2,True
FN22,86.93467880193123
FN21,101.05822990251332
FB3,True
FN13,8466.648803885688
FB7,False
FN20,11511.81268459709
FN14,0.1505647146079922
FN18,6.261176274680636
FB5,False
FN5,91.43045573987348
FN10,29.82999807716846
