feat,val
FN19,56
FN19,33
FN19,28
FN19,17
FN19,40
FN19,71
FN19,31
FN19,40
FN19,33
FN19,40
FN19,17
FN19,56
FN19,65
FN19,61
FN19,65
FN19,65
FN19,61
FN19,40
FN19,71
FN19,28
FN19,33
FN19,17
FN19,65
FN19,65
FN19,62
FN19,17
FN19,17
FN19,56
FN19,31
FN19,61
FN19,62
FN19,65
FN19,40
FN19,31
FN19,65
FN19,17
FN19,28
FN19,33
FN19,65
FN19,65
FN19,62
FN19,62
FN19,33
FN19,65
FN19,31
FN19,56
FN19,62
FN19,28
FN19,28
FN19,40
FN19,40
FN19,17
FN19,40
FN19,62
FN19,31
FN19,33
FN19,28
FN19,71
FN19,33
FN19,31
FN19,33
FN19,17
FN19,65
FN19,28
FN19,31
FN19,28
FN19,40
FN19,33
FN19,71
FN19,61
FN19,31
FN19,28
FN19,33
FN19,56
FN19,61
FN19,17
FN19,56
FN19,62
FN19,71
FN19,33
FN19,33
FN19,61
FN19,33
FN19,62
FN19,31
FN19,56
FN19,31
FN19,31
FN19,33
FN19,17
FN19,61
FN19,71
FN19,40
FN19,65
FN19,61
FN19,71
FN19,40
FN19,31
FN19,33
FN19,28
FN19,31
FN19,28
FN19,17
FN19,31
FN19,56
FN19,61
FN19,61
FN19,62
FN19,61
FN19,40
FN19,71
FN19,62
FN19,40
FN19,40
FN19,56
FN19,62
FN19,61
FN19,31
FN19,61
FN19,71
FN19,71
FN19,65
FN19,56
FN19,28
FN19,33
FN19,33
FN19,31
FN19,31
FN19,17
FN19,65
FN19,40
FN19,31
FN19,31
FN19,71
FN19,65
FN19,40
FN19,17
FN19,62
FN19,65
FN19,71
FN19,28
FN19,65
FN19,40
FN19,31
FN19,56
FN19,40
FN19,62
FN19,62
FN19,62
FN19,40
FN19,71
FN19,61
FN19,33
FN19,33
FN19,33
FN19,17
FN19,28
FN19,61
FN19,31
FN19,71
FN19,17
FN19,61
FN19,65
FN19,65
FN19,17
FN19,71
FN19,56
FN19,62
FN19,56
FN19,62
FN19,33
FN19,17
FN19,31
FN19,62
FN19,40
FN19,65
FN19,56
FN19,61
FN19,56
FN19,65
FN19,61
FN19,56
FN19,61
FN19,62
FN19,71
FN19,40
FN19,28
FN19,56
FN19,56
FN19,40
FN19,65
FN19,33
FN19,40
FN19,28
FN19,31
FN19,56
FN19,31
FN19,40
FN19,31
FN19,28
FN19,28
FN19,28
FN19,40
FN19,71
FN19,71
FN19,28
FN19,33
FN19,56
FN19,28
FN19,33
FN19,71
FN19,65
FN19,31
FN19,71
FN19,56
FN19,31
FN19,65
FN19,33
FN19,62
FN19,28
FN19,61
FN19,33
FN19,71
FN19,62
FN19,56
FN19,28
FN19,28
FN19,31
FN19,65
FN19,28
FN19,61
FN19,61
FN19,31
FN19,61
FN19,28
FN19,28
FN19,33
FN19,56
FN19,62
FN19,40
FN19,65
FN19,31
FN19,62
FN19,56
FN19,33
FN19,40
FN19,40
FN19,56
FN19,28
FN19,28
FN19,17
FN19,71
FN19,40
FN19,61
FN19,17
FN19,62
FN19,62
FN19,17
FN19,56
FN19,17
FN19,62
FN19,62
FN19,71
FN19,61
FN19,31
FN19,17
FN19,40
FN19,31
FN19,31
FN19,17
FN19,17
FN19,61
FN19,40
FN19,31
FN19,17
FN19,61
FN19,65
FN19,40
FN19,33
FN19,62
FN19,62
FN19,31
FN19,71
FN19,40
FN19,71
FN19,28
FN19,56
FN19,28
FN19,33
FN19,33
FN19,61
FN19,31
FN19,31
FN19,40
FN19,71
FN19,56
FN19,33
FN19,56
FN19,61
FN19,33
FN19,17
FN19,56
FN19,62
FN19,71
FN19,40
FN19,61
FN19,71
FN19,40
FN19,28
FN19,40
FN19,56
FN19,33
FN19,33
FN19,33
FN19,17
FN19,28
FN19,71
FN19,17
FN19,62
FN19,56
FN19,17
FN19,61
FN19,65
FN19,33
FN19,40
FN19,71
FN19,56
FN19,31
FN19,31
FN19,65
FN19,17
FN19,40
FN19,31
FN19,28
FN19,61
FN19,31
FN19,28
FN19,62
FN19,28
FN19,62
FN19,56
FN19,33
FN19,31
FN19,65
FN19,65
FN19,31
FN19,33
FN19,40
FN19,33
FN19,17
FN19,62
FN19,71
FN19,65
FN19,31
FN19,31
FN19,65
FN19,56
FN19,56
FN19,56
FN19,56
FN19,56
FN19,40
FN19,61
FN19,62
FN19,28
FN19,17
FN19,28
FN19,31
FN19,17
FN19,28
FN19,28
FN19,71
FN19,65
FN19,33
FN19,33
FN19,17
FN19,61
FN19,56
FN19,62
FN19,31
FN19,56
FN19,56
FN19,17
FN19,71
FN19,61
FN19,61
FN19,56
FN19,65
FN19,71
FN19,62
FN19,28
FN19,17
FN19,28
FN19,33
FN19,62
FN19,61
FN19,62
FN19,62
FN19,17
FN19,71
FN19,71
FN19,56
FN19,33
FN19,28
FN19,31
FN19,40
FN19,28
FN19,31
FN19,40
FN19,33
FN19,56
FN19,28
FN19,71
FN19,61
FN19,28
FN19,31
FN19,62
FN19,56
FN19,28
FN19,71
FN19,71
FN19,61
FN19,31
FN19,33
FN19,28
FN19,28
FN19,40
FN19,40
FN19,31
FN19,31
FN19,61
FN19,61
FN19,33
FN19,61
FN19,28
FN19,61
FN19,56
FN19,33
FN19,17
FN19,33
FN19,65
FN19,40
