feature,val
FN14,0.48
FN14,0.14
FN14,0.1
FN14,0.01
FN14,0.48
FN14,0.14
FN14,0.01
FN14,0.02
FN14,0.01
FN14,0.1
FN14,0.35
FN14,0.14
FN14,0.14
FN14,0.48
FN14,0.48
FN14,0.45
FN14,0.1
FN14,0.02
FN14,0.48
FN14,0.45
FN14,0.48
FN14,0.45
FN14,0.14
FN14,0.01
FN14,0.36
FN14,0.35
FN14,0.48
FN14,0.35
FN14,0.01
FN14,0.35
FN14,0.48
FN14,0.35
FN14,0.36
FN14,0.48
FN14,0.48
FN14,0.48
FN14,0.02
FN14,0.35
FN14,0.45
FN14,0.01
FN14,0.35
FN14,0.48
FN14,0.48
FN14,0.36
FN14,0.45
FN14,0.41
FN14,0.14
FN14,0.48
FN14,0.35
FN14,0.48
FN14,0.02
FN14,0.41
FN14,0.14
FN14,0.41
FN14,0.02
FN14,0.01
FN14,0.45
FN14,0.36
FN14,0.45
FN14,0.01
FN14,0.01
FN14,0.45
FN14,0.01
FN14,0.01
FN14,0.41
FN14,0.01
FN14,0.01
FN14,0.1
FN14,0.48
FN14,0.41
FN14,0.14
FN14,0.48
FN14,0.48
FN14,0.48
FN14,0.02
FN14,0.48
FN14,0.02
FN14,0.01
FN14,0.36
FN14,0.48
FN14,0.41
