feature,val
FN1,-90
FN1,-96
FN1,-87
FN1,-88
FN1,-90
FN1,-82
FN1,-101
FN1,-82
FN1,-81
FN1,-90
FN1,-86
FN1,-100
FN1,-88
FN1,-90
FN1,-101
FN1,-100
FN1,-101
FN1,-81
FN1,-101
FN1,-90
FN1,-88
FN1,-90
FN1,-81
FN1,-101
FN1,-96
FN1,-100
FN1,-101
FN1,-88
FN1,-86
FN1,-100
FN1,-81
FN1,-96
FN1,-87
FN1,-82
FN1,-88
FN1,-90
FN1,-86
FN1,-82
FN1,-81
FN1,-87
FN1,-100
FN1,-88
FN1,-82
FN1,-84
FN1,-87
FN1,-101
FN1,-96
FN1,-100
FN1,-86
FN1,-101
FN1,-101
FN1,-101
FN1,-101
FN1,-101
FN1,-86
FN1,-82
FN1,-101
FN1,-87
FN1,-86
FN1,-100
FN1,-87
FN1,-100
FN1,-88
