feature,val
FN7,30
FN7,26
FN7,1
FN7,30
FN7,26
FN7,0
FN7,30
FN7,26
FN7,26
FN7,60
FN7,64
FN7,63
FN7,60
FN7,72
FN7,60
FN7,85
FN7,72
FN7,60
FN7,64
FN7,62
FN7,72
FN7,26
FN7,72
FN7,64
FN7,63
FN7,30
FN7,0
FN7,72
FN7,63
FN7,26
FN7,63
FN7,85
FN7,62
FN7,64
FN7,72
FN7,60
FN7,63
FN7,0
FN7,63
FN7,62
FN7,1
FN7,85
FN7,0
FN7,72
FN7,1
FN7,64
FN7,72
FN7,0
FN7,60
FN7,1
FN7,63
FN7,60
FN7,1
FN7,0
FN7,64
FN7,62
FN7,72
FN7,85
FN7,26
FN7,63
FN7,60
FN7,30
FN7,63
FN7,85
FN7,60
FN7,63
FN7,26
FN7,0
FN7,62
FN7,85
FN7,63
FN7,0
FN7,72
FN7,0
FN7,85
FN7,64
FN7,26
FN7,64
FN7,60
FN7,30
FN7,62
FN7,0
FN7,64
FN7,63
FN7,85
FN7,85
FN7,64
FN7,30
FN7,1
FN7,63
FN7,63
FN7,72
FN7,26
FN7,0
FN7,85
FN7,64
FN7,85
FN7,63
FN7,64
FN7,26
FN7,1
FN7,62
FN7,63
FN7,64
FN7,72
FN7,72
FN7,30
FN7,0
FN7,85
FN7,30
FN7,30
FN7,30
FN7,64
FN7,62
FN7,72
FN7,63
FN7,85
FN7,85
FN7,64
FN7,64
FN7,62
FN7,64
FN7,0
FN7,60
FN7,0
FN7,63
FN7,60
FN7,60
FN7,62
FN7,63
FN7,72
FN7,30
FN7,63
FN7,1
FN7,62
FN7,72
FN7,85
FN7,85
FN7,1
FN7,1
FN7,60
FN7,62
FN7,63
FN7,0
FN7,0
FN7,85
FN7,26
FN7,0
FN7,62
FN7,26
FN7,64
FN7,1
FN7,63
FN7,85
FN7,26
FN7,63
FN7,63
FN7,30
FN7,85
FN7,63
FN7,63
FN7,1
FN7,64
FN7,85
FN7,26
FN7,0
FN7,30
FN7,60
FN7,64
FN7,26
FN7,63
FN7,72
FN7,1
FN7,63
FN7,85
FN7,0
FN7,26
FN7,64
FN7,60
FN7,62
FN7,63
FN7,72
FN7,64
FN7,30
FN7,0
FN7,60
FN7,26
FN7,60
FN7,30
FN7,62
FN7,85
FN7,62
FN7,63
FN7,62
FN7,26
FN7,63
FN7,1
FN7,60
FN7,30
FN7,60
FN7,60
FN7,85
FN7,72
FN7,72
FN7,60
FN7,62
FN7,63
FN7,63
FN7,62
FN7,72
FN7,0
FN7,64
FN7,26
FN7,72
FN7,72
FN7,72
FN7,85
FN7,64
FN7,30
FN7,85
FN7,85
FN7,64
FN7,26
FN7,72
FN7,1
FN7,0
FN7,60
FN7,85
FN7,26
FN7,85
FN7,60
FN7,63
FN7,62
FN7,64
FN7,85
FN7,63
FN7,1
FN7,60
FN7,64
FN7,26
FN7,62
FN7,0
FN7,64
FN7,62
FN7,72
FN7,64
FN7,85
FN7,1
FN7,1
FN7,30
FN7,60
FN7,64
FN7,63
FN7,0
FN7,62
FN7,62
FN7,72
FN7,63
FN7,62
FN7,85
FN7,26
FN7,26
FN7,64
FN7,85
FN7,60
FN7,1
FN7,72
FN7,26
FN7,62
FN7,64
FN7,63
FN7,64
FN7,60
FN7,62
FN7,26
FN7,1
FN7,85
FN7,85
FN7,0
FN7,62
FN7,60
FN7,63
FN7,1
FN7,63
FN7,72
FN7,30
FN7,64
FN7,30
FN7,60
FN7,72
FN7,64
FN7,72
FN7,72
FN7,62
FN7,72
FN7,1
FN7,60
FN7,60
FN7,1
FN7,72
FN7,0
FN7,0
FN7,30
FN7,0
FN7,62
FN7,30
FN7,0
FN7,85
FN7,26
FN7,85
FN7,0
FN7,1
FN7,60
FN7,60
FN7,85
FN7,30
FN7,85
FN7,30
FN7,72
FN7,60
FN7,63
FN7,0
FN7,63
FN7,1
FN7,30
FN7,30
FN7,60
FN7,1
FN7,62
FN7,63
FN7,1
FN7,30
FN7,64
FN7,1
FN7,60
FN7,26
FN7,60
FN7,0
FN7,85
FN7,60
FN7,30
FN7,60
FN7,62
FN7,1
FN7,63
FN7,30
FN7,63
FN7,1
FN7,60
FN7,63
FN7,85
FN7,60
FN7,62
FN7,72
FN7,72
FN7,26
FN7,0
FN7,1
FN7,1
FN7,0
FN7,26
FN7,64
FN7,30
FN7,26
FN7,62
FN7,26
FN7,72
FN7,63
FN7,30
FN7,63
FN7,0
FN7,0
FN7,0
FN7,26
FN7,30
FN7,85
FN7,0
FN7,30
FN7,60
FN7,62
FN7,1
FN7,30
FN7,26
FN7,85
FN7,62
FN7,62
FN7,62
FN7,63
FN7,60
FN7,1
FN7,62
FN7,62
FN7,64
FN7,85
FN7,64
FN7,62
FN7,62
FN7,1
FN7,85
FN7,26
FN7,30
FN7,30
FN7,63
FN7,64
FN7,1
FN7,64
FN7,26
FN7,26
FN7,72
FN7,26
FN7,64
FN7,30
FN7,26
FN7,72
FN7,26
FN7,26
FN7,1
FN7,63
FN7,62
FN7,60
FN7,0
FN7,72
FN7,62
FN7,85
FN7,60
FN7,60
