feature,val
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,true
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,true
FB6,true
FB6,false
FB6,true
FB6,true
FB6,true
FB6,false
FB6,true
FB6,true
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,true
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
FB6,false
