nomprimitive,grouped_values
FB1,"['True', 'False', 'True']"
FB2,"['True', 'True', 'False', 'True']"
FB3,"['True', 'True', 'True', 'True']"
FB4,"['False', 'True']"
FB5,"['False', 'True', 'False', 'True']"
FB6,"['False', 'False', 'True']"
FB7,"['True', 'False', 'False']"
FN1,"['-90.71562980133764', '-99.38779971603938', '-86.23509681209838']"
FN10,"['92.96403715625648', '33.74109695396339', '94.6008693512161', '79.27779409673276']"
FN11,"['39.324472028012416', '17.014444372103156', '99.29816034838204']"
FN12,"['34.79497676122409', '57.51220357867015', '96.24196810865196']"
FN13,"['8271.023895247437', '6159.014268214066']"
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.3278207821488676', '0.2978421961021192']"
FN15,"['0.355937951956029', '0.9497973729034824', '0.9839956999972604', '0.3360117865526455']"
FN16,"['272.44065583556966', '317.5772572862566', '28.318837142754848', '501.4435594548003']"
FN17,"['37026.41842737195', '21881.35017232516', '22875.318224221992', '1485.4543141512634']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '66.33116164310061', '-45.63587566281237']"
FN19,"['89.00241518420975', '97.55645531091466', '47.683482678302106']"
FN2,"['2.6232562787115565', '19.896013494040208', '1.8897249074363496']"
FN20,"['13219.960648682722', '39871.23815665322', '30060.513902591585']"
FN21,"['6.367075027736785', '132.3899921044605', '97.28634588747234']"
FN22,"['309.40868208598914', '327.70970876486547']"
FN23,"['18.268116608988286', '16.578437181103578', '19.02063643090261']"
FN3,"['0.125678622581542', '2.012305219895083', '17.027986602159856']"
FN4,"['8.23316010381232', '30.04321037887546', '51.16928184674434']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '84.13603626511832']"
FN6,"['15.542872502704164', '93.9416609093254', '37.09557232188453']"
FN7,"['56.05824434238176', '53.59962884556391', '67.12187692865564']"
FN8,"['25.034974332608783', '31.76855195895541', '24.278535126300405']"
FN9,"['76.91072204943562', '85.53490560308768', '7.310022864631238']"
