nomprimitive,grouped_values
FB1,"['False', 'True']"
FB2,"['True', 'True', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'True', 'False', 'False']"
FB5,"['False', 'False', 'False', 'True']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'True']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-90.06669628521031', '-96.22323408439232']"
FN10,"['92.96403715625648', '33.785323806307176', '89.4355797150259']"
FN11,"['39.324472028012416', '82.1743282466604', '92.2046978549576']"
FN12,"['71.05489949933836', '5.061229399618384', '40.05890981274216']"
FN13,"['3057.686381166867', '2421.0922260046927', '6604.408410742863']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.3818035105365236']"
FN15,"['-0.5285413174026989', '0.2391808208005885']"
FN16,"['32.882892849145804', '8.075105103614089', '191.9681564043209']"
FN17,"['14567.093429663231', '21806.04831860147', '25822.194023378408']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '90.8435119167527']"
FN19,"['46.79047317133311', '88.15849448659527']"
FN2,"['0.272952183532551', '2.041848214391919', '2.19625222098812']"
FN20,"['45551.69259199089', '28659.15988690147', '7747.991676868732']"
FN21,"['204.4911203142848', '87.29797216784071', '173.14370490813374']"
FN22,"['473.71165227833694', '290.778425022632', '327.75021067200925']"
FN23,"['15.32599437485448', '27.387615045327628', '20.91663588441549', '10.426974147101635']"
FN3,"['3.4046336277906253', '17.151018780477735', '5.222764771973387']"
FN4,"['79.49658852071899', '30.04321037887546', '73.35331183004202', '61.408183067700826']"
FN5,"['99.84200322874926', '29.99660961738586', '88.28223338480295', '94.48421637872136']"
FN6,"['71.73547497725158', '84.34615428016005', '26.159851130687915', '11.446244860189235']"
FN7,"['56.05824434238176', '24.60996336292769', '52.815414164817135', '43.669272924979374']"
FN8,"['10.253606153997508', '68.76737539122519', '63.86288153460568']"
FN9,"['5.271995741472835', '32.263714753998165', '91.78611979872449', '55.97699152471791']"
