nomprimitive,grouped_values
FB1,"['True', 'False']"
FB2,"['True', 'True', 'True', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'False']"
FB5,"['False', 'True', 'False', 'False']"
FB6,"['False', 'False', 'True']"
FB7,"['True', 'False', 'True']"
FN1,"['-90.71562980133764', '-99.38779971603938', '-93.87339742456436']"
FN10,"['92.96403715625648', '33.74109695396339', '94.6008693512161', '15.505943645564912']"
FN11,"['39.324472028012416', '17.014444372103156', '43.88378935312707', '78.01299514007734']"
FN12,"['34.79497676122409', '57.51220357867015', '85.06641380195592']"
FN13,"['8271.023895247437', '7363.540696900457']"
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.216822485174586']"
FN15,"['0.355937951956029', '0.9497973729034824', '0.9154942515500082', '-0.6164185478036566']"
FN16,"['272.44065583556966', '317.5772572862566', '807.8375107547301', '869.1894193859097']"
FN17,"['37026.41842737195', '21881.35017232516', '39574.692733289565', '967.6757920432656']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '-2.3564181627781124']"
FN19,"['89.00241518420975', '97.55645531091466', '71.73079062322275', '15.772269685480332']"
FN2,"['2.6232562787115565', '19.896013494040208', '15.61827145615917']"
FN20,"['13219.960648682722', '39871.23815665322']"
FN21,"['6.367075027736785', '132.3899921044605', '127.2185246349062', '209.75554058960216']"
FN22,"['309.40868208598914', '31.215986446504168']"
FN23,"['18.268116608988286', '16.578437181103578', '21.35761274901116']"
FN3,"['0.125678622581542', '2.012305219895083', '7.383805318210248']"
FN4,"['8.23316010381232', '30.04321037887546', '26.7145508423689', '10.526740391098544']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '29.82268783800818']"
FN6,"['15.542872502704164', '93.9416609093254', '4.599674118010244', '56.743252861040375']"
FN7,"['56.05824434238176', '53.59962884556391', '53.70725588760889']"
FN8,"['25.034974332608783', '31.76855195895541', '53.63991607148916']"
FN9,"['76.91072204943562', '85.53490560308768', '62.591937192849045']"
