nomprimitive,grouped_values
FB1,['False']
FB2,"['True', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'True', 'True', 'True']"
FB5,"['False', 'False', 'False', 'False', 'True']"
FB6,"['False', 'False', 'False']"
FB7,"['True', 'False', 'True', 'True']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-88.22937545903721']"
FN10,"['92.96403715625648', '33.785323806307176', '16.47035326891707', '11.24967800952088']"
FN11,"['39.324472028012416', '82.1743282466604', '62.568004147077474']"
FN12,"['71.05489949933836', '5.061229399618384', '11.598018743466609']"
FN13,"['3057.686381166867', '2421.0922260046927', '250.369846626498', '9381.970622476563']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.1118245652976877', '0.3890309549296741']"
FN15,"['-0.5285413174026989', '0.2391808208005885', '-0.590109173183593']"
FN16,"['32.882892849145804', '8.075105103614089', '524.621405254102']"
FN17,"['14567.093429663231', '21806.04831860147', '1670.0456785277206']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '-52.783747834771376', '98.06518072358816']"
FN19,"['46.79047317133311', '88.15849448659527', '31.96810303250085']"
FN2,"['0.272952183532551', '2.041848214391919']"
FN20,"['45551.69259199089', '28659.15988690147', '10276.93059604327']"
FN21,"['204.4911203142848', '87.29797216784071', '160.75333440707166']"
FN22,"['473.71165227833694', '290.778425022632', '381.8137066984296']"
FN23,"['15.32599437485448', '27.387615045327628', '34.05357263165274']"
FN3,"['3.4046336277906253', '17.151018780477735', '19.67708393793228']"
FN4,"['79.49658852071899', '30.04321037887546', '0.3095266183054779', '95.19315155704']"
FN5,"['99.84200322874926', '29.99660961738586', '88.28223338480295', '58.13335653139136']"
FN6,"['71.73547497725158', '84.34615428016005', '59.67321447121285']"
FN7,"['56.05824434238176', '24.60996336292769', '29.472721261369184', '54.40710604806818']"
FN8,"['10.253606153997508', '68.76737539122519', '11.390957557842484']"
FN9,"['5.271995741472835', '32.263714753998165', '34.59275215064728']"
