nomprimitive,grouped_values
FB1,['False']
FB2,"['True', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'True', 'False', 'True']"
FB5,"['False', 'False', 'False', 'False']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'False']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-91.97523798633176', '-99.248548096659']"
FN10,"['92.96403715625648', '33.785323806307176']"
FN11,"['39.324472028012416', '82.1743282466604', '26.311524019559407']"
FN12,"['71.05489949933836', '5.061229399618384', '29.68162723002396', '82.04427089491342']"
FN13,"['3057.686381166867', '2421.0922260046927', '7623.095192739793', '7546.273484263386']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.2458153652234025', '0.2978421961021192']"
FN15,"['-0.5285413174026989', '0.2391808208005885', '-0.926050647733652', '0.0866261172559774']"
FN16,"['32.882892849145804', '8.075105103614089', '170.88506776104816']"
FN17,"['14567.093429663231', '21806.04831860147', '42595.606777886016']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '-85.43425966174327', '-45.63587566281237']"
FN19,"['46.79047317133311', '88.15849448659527']"
FN2,"['0.272952183532551', '2.041848214391919', '13.27533468031845']"
FN20,"['45551.69259199089', '28659.15988690147', '30060.513902591585']"
FN21,"['204.4911203142848', '87.29797216784071', '185.6525954026558']"
FN22,"['473.71165227833694', '290.778425022632', '631.8565711769741']"
FN23,"['15.32599437485448', '27.387615045327628', '22.196275512733987']"
FN3,"['3.4046336277906253', '17.151018780477735', '18.43488289983759', '4.0989981122881485']"
FN4,"['79.49658852071899', '30.04321037887546', '2.3437399134627723', '96.64247850697878']"
FN5,"['99.84200322874926', '29.99660961738586', '88.28223338480295', '36.96761119078001']"
FN6,"['71.73547497725158', '84.34615428016005', '29.361011471834374']"
FN7,"['56.05824434238176', '24.60996336292769', '11.331074155871212']"
FN8,"['10.253606153997508', '68.76737539122519', '86.76881759592693']"
FN9,"['5.271995741472835', '32.263714753998165', '38.41965860593953']"
