nomprimitive,grouped_values
FB1,"['True', 'False', 'False', 'True']"
FB2,"['True', 'True', 'False', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'True']"
FB5,"['False', 'True', 'False', 'False', 'False', 'False']"
FB6,"['False', 'False', 'True']"
FB7,"['True', 'False', 'True']"
FN1,"['-90.71562980133764', '-99.38779971603938']"
FN10,"['92.96403715625648', '33.74109695396339', '53.1043204025595', '74.86707305259141', '1.6739420294781704']"
FN11,"['39.324472028012416', '17.014444372103156', '12.36229868285581']"
FN12,"['34.79497676122409', '57.51220357867015']"
FN13,['8271.023895247437']
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.0978902051933687', '0.4280620257661661', '0.2280325941579421']"
FN15,"['0.355937951956029', '0.9497973729034824', '0.0250685241962358', '0.7898934786335554']"
FN16,"['272.44065583556966', '317.5772572862566', '807.8375107547301', '356.18672104943425', '861.5885245739686']"
FN17,"['37026.41842737195', '21881.35017232516', '18952.08548061811', '12238.485935631432']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '64.87562071236405', '40.538710716333895', '11.498660737356232']"
FN19,"['89.00241518420975', '97.55645531091466', '59.38389585002111', '74.07933886624834']"
FN2,"['2.6232562787115565', '19.896013494040208']"
FN20,"['13219.960648682722', '39871.23815665322']"
FN21,"['6.367075027736785', '132.3899921044605', '30.669736547445066']"
FN22,['309.40868208598914']
FN23,"['18.268116608988286', '16.578437181103578']"
FN3,"['0.125678622581542', '2.012305219895083', '8.88549770804493']"
FN4,"['8.23316010381232', '30.04321037887546', '95.57862905465105']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '88.9615086073363', '88.5289553336341', '52.988888043140406']"
FN6,"['15.542872502704164', '93.9416609093254', '89.73850811346932']"
FN7,"['56.05824434238176', '53.59962884556391']"
FN8,"['25.034974332608783', '31.76855195895541', '87.21251692724906']"
FN9,"['76.91072204943562', '85.53490560308768']"
