nomprimitive,grouped_values
FB1,"['False', 'False']"
FB2,"['True', 'True', 'True']"
FB3,"['True', 'True', 'True', 'True']"
FB4,"['False', 'True', 'False']"
FB5,"['False', 'False', 'False', 'False']"
FB6,"['False', 'False', 'False']"
FB7,"['True', 'False', 'True', 'True']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-89.68412888935815']"
FN10,"['92.96403715625648', '33.785323806307176', '65.83978992865292', '24.53248994365176']"
FN11,"['39.324472028012416', '82.1743282466604', '60.50541246359954', '92.47250537084668']"
FN12,"['71.05489949933836', '5.061229399618384', '70.19169970374548']"
FN13,"['3057.686381166867', '2421.0922260046927', '6867.01461874243', '8422.636121332485']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.1479587700504724']"
FN15,"['-0.5285413174026989', '0.2391808208005885']"
FN16,"['32.882892849145804', '8.075105103614089', '807.8375107547301', '869.1894193859097']"
FN17,"['14567.093429663231', '21806.04831860147', '967.6757920432656']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '-19.59824603182514']"
FN19,"['46.79047317133311', '88.15849448659527', '63.95058779868581', '39.11563206022959']"
FN2,"['0.272952183532551', '2.041848214391919', '9.926746480353932']"
FN20,"['45551.69259199089', '28659.15988690147', '23544.089733959383']"
FN21,"['204.4911203142848', '87.29797216784071', '231.75040073094584']"
FN22,"['473.71165227833694', '290.778425022632', '31.215986446504168']"
FN23,"['15.32599437485448', '27.387615045327628', '21.35761274901116']"
FN3,"['3.4046336277906253', '17.151018780477735', '18.262984451839163']"
FN4,"['79.49658852071899', '30.04321037887546', '58.706640185669066', '10.526740391098544']"
FN5,"['99.84200322874926', '29.99660961738586', '28.679129039511587']"
FN6,"['71.73547497725158', '84.34615428016005', '95.7407707455294']"
FN7,"['56.05824434238176', '24.60996336292769', '84.84654085612446']"
FN8,"['10.253606153997508', '68.76737539122519', '86.76881759592693']"
FN9,"['5.271995741472835', '32.263714753998165', '93.27756624037244']"
