nomprimitive,grouped_values
FB1,"['True', 'False', 'True', 'True']"
FB2,"['True', 'True', 'False', 'True']"
FB3,"['True', 'True', 'False']"
FB4,"['False', 'False', 'True']"
FB5,"['False', 'True', 'False', 'True']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'True']"
FN1,"['-90.71562980133764', '-99.38779971603938', '-88.22937545903721', '-87.12620891590028']"
FN10,"['92.96403715625648', '33.74109695396339', '94.6008693512161', '6.692653756539279']"
FN11,"['39.324472028012416', '17.014444372103156', '26.311524019559407', '8.509150641989649']"
FN12,"['34.79497676122409', '57.51220357867015', '90.54744616911124']"
FN13,"['8271.023895247437', '7724.132213393484']"
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.0988889789153162']"
FN15,"['0.355937951956029', '0.9497973729034824']"
FN16,"['272.44065583556966', '317.5772572862566', '265.74068383926664']"
FN17,"['37026.41842737195', '21881.35017232516']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '63.87971391020599']"
FN19,"['89.00241518420975', '97.55645531091466']"
FN2,"['2.6232562787115565', '19.896013494040208', '13.848010274190656', '10.03697273394295']"
FN20,"['13219.960648682722', '39871.23815665322', '10768.739895079116']"
FN21,"['6.367075027736785', '132.3899921044605', '135.6284309436798']"
FN22,"['309.40868208598914', '598.1167527271527']"
FN23,"['18.268116608988286', '16.578437181103578', '20.695544254201327', '10.426974147101635']"
FN3,"['0.125678622581542', '2.012305219895083', '19.67708393793228']"
FN4,"['8.23316010381232', '30.04321037887546', '0.3095266183054779', '11.74823248403184']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '77.50616351102096']"
FN6,"['15.542872502704164', '93.9416609093254', '13.668135971875929', '11.446244860189235']"
FN7,"['56.05824434238176', '53.59962884556391', '71.18230476850084', '43.669272924979374']"
FN8,"['25.034974332608783', '31.76855195895541']"
FN9,"['76.91072204943562', '85.53490560308768', '34.59275215064728']"
