nomprimitive,grouped_values
FB1,"['True', 'False', 'False', 'False', 'True']"
FB2,"['True', 'True', 'True', 'True']"
FB3,"['True', 'True', 'True']"
FB4,"['False', 'False']"
FB5,"['False', 'True', 'False', 'False', 'True']"
FB6,"['False', 'False', 'True', 'True']"
FB7,"['True', 'False']"
FN1,"['-90.71562980133764', '-99.38779971603938', '-84.82910514174345']"
FN10,"['92.96403715625648', '33.74109695396339', '53.1043204025595', '79.08930157537706']"
FN11,"['39.324472028012416', '17.014444372103156', '34.102939021348874']"
FN12,"['34.79497676122409', '57.51220357867015', '33.33845980857393']"
FN13,['8271.023895247437']
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.0978902051933687', '0.3407750993744675']"
FN15,"['0.355937951956029', '0.9497973729034824', '-0.590109173183593']"
FN16,"['272.44065583556966', '317.5772572862566', '807.8375107547301', '191.9681564043209', '44.46661676783137']"
FN17,"['37026.41842737195', '21881.35017232516', '43282.638707229606']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '64.87562071236405', '95.16377361613915']"
FN19,"['89.00241518420975', '97.55645531091466', '59.38389585002111']"
FN2,"['2.6232562787115565', '19.896013494040208', '13.59958578318335']"
FN20,"['13219.960648682722', '39871.23815665322']"
FN21,"['6.367075027736785', '132.3899921044605']"
FN22,"['309.40868208598914', '150.15226389114818']"
FN23,"['18.268116608988286', '16.578437181103578', '19.620115251286897']"
FN3,"['0.125678622581542', '2.012305219895083', '8.88549770804493', '1.0492953144668005']"
FN4,"['8.23316010381232', '30.04321037887546', '65.22808207737528']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '88.9615086073363', '58.487018926348746']"
FN6,"['15.542872502704164', '93.9416609093254', '74.780692995399']"
FN7,"['56.05824434238176', '53.59962884556391', '72.38995621882573']"
FN8,"['25.034974332608783', '31.76855195895541', '87.21251692724906']"
FN9,"['76.91072204943562', '85.53490560308768', '67.17402183107775']"
