nomprimitive,grouped_values
FB1,"['True', 'False', 'False']"
FB2,"['True', 'True', 'True', 'True']"
FB3,"['True', 'True', 'False']"
FB4,"['False', 'True']"
FB5,"['False', 'True', 'False', 'False', 'True']"
FB6,"['False', 'False', 'False']"
FB7,"['True', 'False', 'True']"
FN1,"['-90.71562980133764', '-99.38779971603938', '-87.12620891590028']"
FN10,"['92.96403715625648', '33.74109695396339', '94.6008693512161', '15.505943645564912', '6.692653756539279']"
FN11,"['39.324472028012416', '17.014444372103156', '43.88378935312707', '8.509150641989649']"
FN12,"['34.79497676122409', '57.51220357867015']"
FN13,['8271.023895247437']
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.216822485174586', '0.0988889789153162']"
FN15,"['0.355937951956029', '0.9497973729034824', '0.9154942515500082', '0.0712302976496424']"
FN16,"['272.44065583556966', '317.5772572862566', '807.8375107547301', '961.2132937167858']"
FN17,"['37026.41842737195', '21881.35017232516', '39574.692733289565', '22262.518095751588', '25822.194023378408']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '-2.3564181627781124', '63.87971391020599']"
FN19,"['89.00241518420975', '97.55645531091466', '71.73079062322275']"
FN2,"['2.6232562787115565', '19.896013494040208']"
FN20,"['13219.960648682722', '39871.23815665322']"
FN21,"['6.367075027736785', '132.3899921044605', '127.2185246349062']"
FN22,['309.40868208598914']
FN23,"['18.268116608988286', '16.578437181103578', '10.426974147101635']"
FN3,"['0.125678622581542', '2.012305219895083']"
FN4,"['8.23316010381232', '30.04321037887546', '26.7145508423689', '61.408183067700826']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '29.82268783800818', '77.50616351102096']"
FN6,"['15.542872502704164', '93.9416609093254', '4.599674118010244', '11.446244860189235']"
FN7,"['56.05824434238176', '53.59962884556391', '43.669272924979374']"
FN8,"['25.034974332608783', '31.76855195895541', '63.86288153460568']"
FN9,"['76.91072204943562', '85.53490560308768', '92.77920702058408']"
