nomprimitive,grouped_values
FB1,"['False', 'True', 'True', 'True']"
FB2,"['True', 'True', 'False']"
FB3,"['True', 'True', 'False']"
FB4,"['False', 'False', 'True', 'False']"
FB5,"['False', 'False', 'False', 'False']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'True']"
FN1,"['-93.82072769633604', '-95.03506135763185', '-84.20640980557764', '-94.82153450724316']"
FN10,"['92.96403715625648', '33.785323806307176', '26.632808575033952', '47.768921047314905']"
FN11,"['39.324472028012416', '82.1743282466604', '60.50541246359954', '8.509150641989649']"
FN12,"['71.05489949933836', '57.51220357867015', '90.54744616911124']"
FN13,"['3057.686381166867', '8271.023895247437', '7724.132213393484']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.4315466747809395', '0.2162886714507563']"
FN15,['-0.5285413174026989']
FN16,"['32.882892849145804', '317.5772572862566', '361.3847423294846']"
FN17,"['14567.093429663231', '1670.0456785277206', '24842.51332547724']"
FN18,"['-18.66655005244569', '96.47283352403434', '49.9144037718298', '-71.05228708598918']"
FN19,"['46.79047317133311', '28.265310263087173']"
FN2,"['0.272952183532551', '4.481638366365819', '7.714976015935104']"
FN20,"['45551.69259199089', '1475.4400950623358', '21363.659661681668']"
FN21,"['204.4911203142848', '18.79232906537198']"
FN22,"['473.71165227833694', '412.10907772144697', '357.2312542925814']"
FN23,"['15.32599437485448', '18.630617436094347', '34.05357263165274', '13.57908406095931']"
FN3,"['3.4046336277906253', '12.369930989721867', '13.695761425904706']"
FN4,"['79.49658852071899', '30.04321037887546', '0.3095266183054779']"
FN5,"['99.84200322874926', '29.99660961738586', '71.50751956373102', '40.188266187378005']"
FN6,"['71.73547497725158', '15.704653231389898', '85.14044894745736', '66.98787695489102']"
FN7,"['56.05824434238176', '71.6768259617309', '71.18230476850084', '17.477974679325314']"
FN8,"['10.253606153997508', '84.12237062633751']"
FN9,"['5.271995741472835', '31.02545498435972', '34.59275215064728', '21.62387862640075']"
