nomprimitive,grouped_values
FB1,"['True', 'False', 'True', 'True']"
FB2,"['True', 'True', 'False', 'True']"
FB3,"['True', 'True', 'True', 'True']"
FB4,"['False', 'True']"
FB5,"['False', 'True', 'False', 'True', 'False']"
FB6,"['False', 'False', 'False']"
FB7,"['True', 'False', 'False']"
FN1,"['-90.71562980133764', '-99.38779971603938', '-93.63491614646028']"
FN10,"['92.96403715625648', '33.74109695396339', '94.6008693512161', '79.27779409673276', '29.82999807716846']"
FN11,"['39.324472028012416', '17.014444372103156', '99.29816034838204']"
FN12,"['34.79497676122409', '57.51220357867015', '54.9880001537674']"
FN13,"['8271.023895247437', '8466.648803885688']"
FN14,"['0.1652365804092507', '0.0490129564934783', '0.2421529854681186', '0.3278207821488676', '0.1505647146079922']"
FN15,"['0.355937951956029', '0.9497973729034824', '0.9839956999972604']"
FN16,"['272.44065583556966', '317.5772572862566', '28.318837142754848', '546.1440130843235']"
FN17,"['37026.41842737195', '21881.35017232516', '22875.318224221992']"
FN18,"['-18.66655005244569', '-5.018452385068684', '9.730103164386476', '66.33116164310061', '6.261176274680636']"
FN19,"['89.00241518420975', '97.55645531091466']"
FN2,"['2.6232562787115565', '19.896013494040208', '16.38142362883821']"
FN20,"['13219.960648682722', '39871.23815665322', '11511.81268459709']"
FN21,"['6.367075027736785', '132.3899921044605', '101.05822990251332']"
FN22,"['309.40868208598914', '86.93467880193123']"
FN23,"['18.268116608988286', '16.578437181103578', '40.31215261137417']"
FN3,"['0.125678622581542', '2.012305219895083', '8.702311834701561']"
FN4,"['8.23316010381232', '30.04321037887546', '51.16928184674434']"
FN5,"['99.84200322874926', '40.40738376082277', '93.14114105254878', '84.13603626511832', '91.43045573987348']"
FN6,"['15.542872502704164', '93.9416609093254', '64.48882564140479']"
FN7,"['56.05824434238176', '53.59962884556391', '23.14049856062132']"
FN8,"['25.034974332608783', '31.76855195895541']"
FN9,"['76.91072204943562', '85.53490560308768', '69.13649462117729']"
