nomprimitive,grouped_values
FB1,"['False', 'True', 'True']"
FB2,"['True', 'True', 'True', 'True']"
FB3,"['True', 'True']"
FB4,"['False', 'True', 'True', 'True']"
FB5,"['False', 'False', 'False', 'True']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'False']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-81.74722842480169', '-94.10129743936103']"
FN10,"['92.96403715625648', '33.785323806307176', '89.4355797150259', '79.08930157537706']"
FN11,"['39.324472028012416', '82.1743282466604', '92.2046978549576', '34.102939021348874']"
FN12,"['71.05489949933836', '5.061229399618384', '26.103697891627185']"
FN13,"['3057.686381166867', '2421.0922260046927']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.3407750993744675']"
FN15,"['-0.5285413174026989', '0.2391808208005885']"
FN16,"['32.882892849145804', '8.075105103614089', '127.42207389531902']"
FN17,"['14567.093429663231', '21806.04831860147', '10292.87398787146']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '95.16377361613915']"
FN19,"['46.79047317133311', '88.15849448659527', '51.41159858229528']"
FN2,"['0.272952183532551', '2.041848214391919', '10.34600887416717']"
FN20,"['45551.69259199089', '28659.15988690147']"
FN21,"['204.4911203142848', '87.29797216784071']"
FN22,"['473.71165227833694', '290.778425022632', '381.8137066984296']"
FN23,"['15.32599437485448', '27.387615045327628', '44.82309474277611', '19.620115251286897']"
FN3,"['3.4046336277906253', '17.151018780477735', '1.0492953144668005']"
FN4,"['79.49658852071899', '30.04321037887546', '2.08231203551782', '34.48803981988655']"
FN5,"['99.84200322874926', '29.99660961738586', '88.28223338480295', '58.487018926348746']"
FN6,"['71.73547497725158', '84.34615428016005', '61.37166884310087', '38.774928234266746']"
FN7,"['56.05824434238176', '24.60996336292769', '89.66782369659504', '14.797069706912035']"
FN8,"['10.253606153997508', '68.76737539122519', '22.554130350919444']"
FN9,"['5.271995741472835', '32.263714753998165', '10.748615043433997']"
