nomprimitive,grouped_values
FB1,"['False', 'True', 'False', 'False']"
FB2,"['True', 'True', 'False', 'True']"
FB3,"['True', 'True']"
FB4,"['False', 'False', 'True', 'True']"
FB5,"['False', 'False', 'False', 'False', 'True']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False', 'False']"
FN1,"['-93.82072769633604', '-95.03506135763185', '-84.20640980557764', '-96.42805234890048']"
FN10,"['92.96403715625648', '33.785323806307176', '26.632808575033952', '95.93112151937426', '11.24967800952088']"
FN11,"['39.324472028012416', '82.1743282466604', '60.50541246359954', '37.90279423858781']"
FN12,"['71.05489949933836', '57.51220357867015']"
FN13,"['3057.686381166867', '8271.023895247437']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.4315466747809395', '0.3397065009083834', '0.3890309549296741']"
FN15,"['-0.5285413174026989', '0.2979279466606017']"
FN16,"['32.882892849145804', '317.5772572862566', '524.621405254102']"
FN17,['14567.093429663231']
FN18,"['-18.66655005244569', '96.47283352403434', '49.9144037718298', '-37.18301761751943', '98.06518072358816']"
FN19,"['46.79047317133311', '26.23152646237244']"
FN2,"['0.272952183532551', '4.481638366365819', '2.615344045699539']"
FN20,"['45551.69259199089', '1475.4400950623358', '23365.286071092643']"
FN21,"['204.4911203142848', '18.79232906537198', '230.57148894196263']"
FN22,"['473.71165227833694', '412.10907772144697', '14.23140873944936', '86.93467880193123']"
FN23,"['15.32599437485448', '18.630617436094347', '52.601075381886005']"
FN3,"['3.4046336277906253', '12.369930989721867']"
FN4,"['79.49658852071899', '30.04321037887546', '2.3437399134627723']"
FN5,"['99.84200322874926', '29.99660961738586', '71.50751956373102', '20.86892762818057', '58.13335653139136']"
FN6,"['71.73547497725158', '15.704653231389898', '85.14044894745736', '32.47419196360789']"
FN7,"['56.05824434238176', '71.6768259617309', '71.18230476850084', '54.40710604806818']"
FN8,"['10.253606153997508', '62.8565887418425']"
FN9,"['5.271995741472835', '31.02545498435972']"
