nomprimitive,grouped_values
FB1,"['False', 'False']"
FB2,"['True', 'True', 'True']"
FB3,"['True', 'True', 'True', 'False']"
FB4,"['False', 'True', 'False', 'False']"
FB5,"['False', 'False', 'False', 'False']"
FB6,"['False', 'False', 'False', 'False']"
FB7,"['True', 'False']"
FN1,"['-93.82072769633604', '-100.76614311249996', '-91.97523798633176', '-85.86361098338283']"
FN10,"['92.96403715625648', '33.785323806307176', '77.92121471717326']"
FN11,"['39.324472028012416', '82.1743282466604', '26.311524019559407', '45.29889087336622']"
FN12,"['71.05489949933836', '5.061229399618384', '29.68162723002396', '60.23349739327899']"
FN13,"['3057.686381166867', '2421.0922260046927', '7623.095192739793']"
FN14,"['0.1652365804092507', '0.1388091007372788', '0.440677851487962', '0.2458153652234025']"
FN15,"['-0.5285413174026989', '0.2391808208005885', '-0.926050647733652']"
FN16,"['32.882892849145804', '8.075105103614089', '170.88506776104816', '667.8033405395439']"
FN17,"['14567.093429663231', '21806.04831860147']"
FN18,"['-18.66655005244569', '96.47283352403434', '-41.33899748350813', '-85.43425966174327']"
FN19,"['46.79047317133311', '88.15849448659527']"
FN2,"['0.272952183532551', '2.041848214391919', '13.27533468031845', '1.83216382184914']"
FN20,"['45551.69259199089', '28659.15988690147']"
FN21,"['204.4911203142848', '87.29797216784071', '185.6525954026558', '202.67145605099105']"
FN22,"['473.71165227833694', '290.778425022632', '605.0574769492281']"
FN23,"['15.32599437485448', '27.387615045327628', '24.12777077257521']"
FN3,"['3.4046336277906253', '17.151018780477735', '18.43488289983759', '8.701270893090253']"
FN4,"['79.49658852071899', '30.04321037887546', '2.3437399134627723', '42.30736763233868']"
FN5,"['99.84200322874926', '29.99660961738586', '88.28223338480295', '36.96761119078001']"
FN6,"['71.73547497725158', '84.34615428016005', '30.88391662462985']"
FN7,"['56.05824434238176', '24.60996336292769', '1.196616083522739']"
FN8,"['10.253606153997508', '68.76737539122519']"
FN9,"['5.271995741472835', '32.263714753998165', '61.10793436730019']"
